ID,Name,Concepticon_ID,Concepticon_Gloss
1-auge,Auge,1248,EYE
2-ohr,Ohr,1247,EAR
3-nase,Nase,1221,NOSE
4-mund,Mund,674,MOUTH
5-zahn,Zahn,1380,TOOTH
6-zunge,Zunge,1205,TONGUE
7-lippe,Lippe,478,LIP
8-wange,Wange,1730,CHEEK
9-gesicht,Gesicht,1560,FACE
10-stirn,Stirn,123,FOREHEAD
12-schnurrbart,Schnurrbart,1165,MOUSTACHE
13-bart,Bart,678,BEARD
14-kinn,Kinn,1510,CHIN
16-kehle,Kehle,1346,THROAT
17-hals,Hals,1333,NECK
18-genick,Genick,1347,NAPE (OF NECK)
19-kopf,Kopf,1256,HEAD
20-rucken,Rücken,1291,BACK
21-bauch,Bauch,1251,BELLY
22-nabel,Nabel,1838,NAVEL
23-busen,Busen,1402,BREAST
24-brust,Brust,1592,CHEST
25-schulter,Schulter,1482,SHOULDER
26-arm,Arm,1673,ARM
27-ellenbogen,Ellenbogen,981,ELBOW
28-hand,Hand,1277,HAND
30-finger,Finger,1303,FINGER
33-zeh,Zeh,1389,TOE
34-fu,Fuß,1301,FOOT
35-ferse,Ferse,980,HEEL
36-knie,Knie,1371,KNEE
38-bein,Bein,1297,LEG
39-korper,Körper,1480,BODY
40-haut,Haut,763,SKIN
41-blut,Blut,946,BLOOD
42-ader,Ader,1924,VEIN
43-sehne,Sehne,1137,TENDON
44-knochen,Knochen,1394,BONE
45-gehirn,Gehirn,1583,BRAIN
46-herz,Herz,1223,HEART
47-magen,Magen,819,STOMACH
48-leber,Leber,1224,LIVER
49-atem,Atem,870,BREATH
50-hunger,Hunger,1864,HUNGER
51-trane,Träne,1651,TEAR (OF EYE)
52-geschmack,Geschmack,2190,TASTE
53-geruch,Geruch,3704,ODOR (SMELL)
54-schlaf,Schlaf,2972,SLEEP (STATE)
55-traum,Traum,2374,DREAM
56-himmel,Himmel,1732,SKY
57-sonne,Sonne,1343,SUN
58-mond,Mond,1313,MOON
59-stern,Stern,1430,STAR
60-luft,Luft,27,AIR
61-wind,Wind,960,WIND
62-welle,Welle,978,WAVE
63-wasser,Wasser,948,WATER
64-stein,Stein,857,STONE
65-boden,Boden,2159,GROUND
66-erde,Erde,1228,EARTH (SOIL)
67-staub,Staub,2,DUST
68-rauch,Rauch,778,SMOKE (EXHAUST)
69-funke,Funke,518,SPARK
70-feuer,Feuer,221,FIRE
71-licht,Licht,630,LIGHT (RADIATION)
72-schatten,Schatten,1388,SHADE
73-wetter,Wetter,952,WEATHER
74-nebel,Nebel,249,FOG
75-wolke,Wolke,1489,CLOUD
76-regen,Regen,658,RAIN (PRECIPITATION)
77-schnee,Schnee,784,SNOW
78-eis,Eis,617,ICE
79-frost,Frost,2034,FROST
80-kalte,Kälte,2932,COLD (CHILL)
81-hitze,Hitze,612,HEAT
83-regenbogen,Regenbogen,1733,RAINBOW
84-donner,Donner,1150,THUNDER
86-tropfen,Tropfen,3748,DROP (OF A LIQUID)
87-schaum,Schaum,1768,FOAM
88-schmutz,Schmutz,25,DIRT
89-see,See,624,LAKE
90-sumpf,Sumpf,1145,SWAMP
91-moor,Moor,2962,MOORLAND
92-wiese,Wiese,2819,GRASSLAND
93-wald,Wald,420,FOREST
94-hugel,Hügel,614,HILL
96-berg,Berg,639,MOUNTAIN
97-gipfel,Gipfel,1614,SUMMIT
98-hohle,Höhle,1155,CAVE
99-abhang,Abhang,3076,SLOPE
100-quelle,Quelle,849,SPRING (OF WATER)
103-ufer,Ufer,3464,SHORE OF LAKE
105-festland,Festland,166,MAINLAND
106-meer,Meer,1474,SEA
107-bucht,Bucht,663,BAY
108-insel,Insel,622,ISLAND
109-blume,Blume,239,FLOWER
110-gras,Gras,606,GRASS
111-wurzel,Wurzel,670,ROOT
112-baum,Baum,906,TREE
113-stamm,Stamm,344,TREE TRUNK
114-rinde,Rinde,1204,BARK
115-ast,Ast,1531,BRANCH
116-zweig,Zweig,3222,TWIG
117-blatt,Blatt,628,LEAF
118-birke,Birke,1855,BIRCH
122-horn,Horn,1393,HORN (ANATOMY)
123-feder,Feder,1201,FEATHER
124-fell,Fell,580,FUR
125-flugel,Flügel,1257,WING
126-klaue,Klaue,72,CLAW
127-kralle,Kralle,2965,PAW
128-schwanz,Schwanz,1220,TAIL
129-ei,Ei,744,EGG
130-nest,Nest,539,NEST
131-bau,Bau,2949,LAIR
132-tier,Tier,619,ANIMAL
133-herde,Herde,2939,FLOCK (OF ANIMALS)
134-kuh,Kuh,1007,COW
135-bulle,Bulle,1008,BULL
136-pferd,Pferd,615,HORSE
137-schaf,Schaf,1331,SHEEP
138-schwein,Schwein,1337,PIG
139-hund,Hund,2009,DOG
140-katze,Katze,1208,CAT
141-bar,Bär,1820,BEAR
142-eichhornchen,Eichhörnchen,1628,SQUIRREL
143-elch,Elch,1772,ELK
144-fuchs,Fuchs,1312,FOX
145-hase,Hase,1190,HARE
146-maus,Maus,1491,MOUSE
147-wolf,Wolf,522,WOLF
148-vogel,Vogel,937,BIRD
150-huhn,Huhn,1318,CHICKEN
151-hahn,Hahn,1511,ROOSTER
152-gans,Gans,1187,GOOSE
153-adler,Adler,1905,EAGLE
154-ente,Ente,1360,DUCK
155-eule,Eule,735,OWL
156-kranich,Kranich,1830,CRANE
157-krahe,Krähe,913,CROW
158-kuckuck,Kuckuck,2934,CUCKOO
159-schwan,Schwan,2837,SWAN
160-fisch,Fisch,227,FISH
161-barsch,Barsch,2966,PERCH (FISH)
162-hecht,Hecht,2967,PIKE (FISH)
163-schlangetier,Schlange[Tier],730,SNAKE
164-wurm,Wurm,1219,WORM
165-spinne,Spinne,843,SPIDER
166-ameise,Ameise,587,ANT
167-laus,Laus,1392,LOUSE
168-mucke,Mücke,1509,MOSQUITO
169-fliege,Fliege,1504,FLY (INSECT)
170-schmetterling,Schmetterling,1791,BUTTERFLY
171-beere,Beere,904,BERRY
172-apfel,Apfel,1320,APPLE
173-pilz,Pilz,641,MUSHROOM
175-saat,Saat,714,SEED
176-korn,Korn,605,GRAIN
177-heu,Heu,342,HAY
178-schale,Schale,2373,SKIN (OF FRUIT)
179-grube,Grube,2539,PIT (POTHOLE)
180-falle,Falle,1075,TRAP (PITFALL)
181-schlinge,Schlinge,2604,NOOSE
182-spur,Spur,318,FOOTPRINT
183-asche,Asche,646,ASH
185-eisen,Eisen,621,IRON
186-gold,Gold,1369,GOLD
187-silber,Silber,759,SILVER
190-lehm,Lehm,1399,CLAY
191-sand,Sand,671,SAND
192-mensch,Mensch,683,PERSON
193-mann,Mann,1554,MAN
194-frau,Frau,962,WOMAN
196-junge,Junge,1366,BOY
197-madchen,Mädchen,1646,GIRL
198-familie,Familie,194,FAMILY
199-grovater,Großvater,1383,GRANDFATHER
200-gromutter,Großmutter,1496,GRANDMOTHER
202-vater,Vater,1217,FATHER
203-mutter,Mutter,1216,MOTHER
204-sohn,Sohn,1620,SON
205-tochter,Tochter,1357,DAUGHTER
206-bruder,Bruder,1262,BROTHER
207-schwester,Schwester,1263,SISTER
208-onkel,Onkel,1327,UNCLE
209-tante,Tante,1272,AUNT
210-ehemann,Ehemann,1200,HUSBAND
211-ehefrau,Ehefrau,1199,WIFE
212-freude,Freude,2524,JOY
214-gluck,Glück,2941,HAPPINESS
215-kummer,Kummer,1668,GRIEF
217-lust,Lust,2960,LONGING (WISH)
218-geist,Geist,53,SPIRIT
219-gedanke,Gedanke,2975,THOUGHT
220-gedachtnis,Gedächtnis,1018,MEMORY
221-verstand,Verstand,1562,MIND
222-sinn,Sinn,2950,MEANING
223-grund,Grund,2968,REASON
224-wahrheit,Wahrheit,1638,TRUTH
225-gesprach,Gespräch,2933,CONVERSATION
226-marchen,Märchen,2937,FAIRY TALE
227-erzahlung,Erzählung,2060,STORY
228-nachricht,Nachricht,2961,MESSAGE
230-name,Name,1405,NAME
232-rede,Rede,1115,SPEECH
233-sprache,Sprache,1307,LANGUAGE
234-stimme,Stimme,1363,VOICE
235-wort,Wort,1599,WORD
236-zeichen,Zeichen,1720,SIGN
237-ruf,Ruf,2944,CALL (APPEAL)
238-larm,Lärm,1182,NOISE
239-laut,Laut,1811,SOUND OR NOISE
240-ton,Ton,2995,TONE (MUSIC)
241-lied,Lied,1096,SONG
242-ruhe,Ruhe,3458,SILENCE
244-volk,Volk,789,PEOPLE
245-arbeit,Arbeit,984,WORK (LABOUR)
247-geschenk,Geschenk,2982,GIFT
248-spiel,Spiel,2467,GAME
249-gesellschaft,Gesellschaft,2983,COMPANIONSHIP
